No.,Name,Position,Year,PlayerURL,PlayerID,team_name,team_cccaa_season,team_id,team_season
13,Caden Rogers,OF,Fr,https://www.cccaasports.org/sports/bsb/2021-22/players/cadenrogers42vk,cadenrogers42vk,Redwoods,2021-22,redwoods,2022
10,Evan Stauch,INF,Fr,https://www.cccaasports.org/sports/bsb/2021-22/players/evanstauch91ks,evanstauch91ks,Redwoods,2021-22,redwoods,2022
1,Max Merlan,OF,Fr,https://www.cccaasports.org/sports/bsb/2021-22/players/maxmerlannr52,maxmerlannr52,Redwoods,2021-22,redwoods,2022
25,Taylor Steig,INF,Fr,https://www.cccaasports.org/sports/bsb/2021-22/players/taylorsteig2ol6,taylorsteig2ol6,Redwoods,2021-22,redwoods,2022
15,Zach Cole,INF,Fr,https://www.cccaasports.org/sports/bsb/2021-22/players/zachcole41ke,zachcole41ke,Redwoods,2021-22,redwoods,2022
3,Jake Agarwal,OF,Fr,https://www.cccaasports.org/sports/bsb/2021-22/players/jakeagarwaloyqg,jakeagarwaloyqg,Redwoods,2021-22,redwoods,2022
23,Mason Nichols,INF,Fr,https://www.cccaasports.org/sports/bsb/2021-22/players/masonnichols8omc,masonnichols8omc,Redwoods,2021-22,redwoods,2022
24,Mateo Hamm,P,So,https://www.cccaasports.org/sports/bsb/2021-22/players/mateohammfvt2,mateohammfvt2,Redwoods,2021-22,redwoods,2022
5,Grant Laserre,P/UTL,So,https://www.cccaasports.org/sports/bsb/2021-22/players/grantlaserre3le9,grantlaserre3le9,Redwoods,2021-22,redwoods,2022
21,Christian Navarro-Soria,INF,So,https://www.cccaasports.org/sports/bsb/2021-22/players/christiannavarrosoriaccyi,christiannavarrosoriaccyi,Redwoods,2021-22,redwoods,2022
8,Blake Bacho,C/UTL,Fr,https://www.cccaasports.org/sports/bsb/2021-22/players/blakebachow1fh,blakebachow1fh,Redwoods,2021-22,redwoods,2022
4,Bryant Gadison,OF,Fr,https://www.cccaasports.org/sports/bsb/2021-22/players/bryantgadisoni5ak,bryantgadisoni5ak,Redwoods,2021-22,redwoods,2022
20,Dwight Davenport,OF,Fr,https://www.cccaasports.org/sports/bsb/2021-22/players/dwightdavenportplch,dwightdavenportplch,Redwoods,2021-22,redwoods,2022
11,Regan Nyberg,INF,Fr,https://www.cccaasports.org/sports/bsb/2021-22/players/regannybergjr0b,regannybergjr0b,Redwoods,2021-22,redwoods,2022
18,Conner Johnson,INF,Fr,https://www.cccaasports.org/sports/bsb/2021-22/players/connerjohnsondoqa,connerjohnsondoqa,Redwoods,2021-22,redwoods,2022
29,John Farley,UTL,Fr,https://www.cccaasports.org/sports/bsb/2021-22/players/johnfarleybibv,johnfarleybibv,Redwoods,2021-22,redwoods,2022
6,Chandler Jones,P,So,https://www.cccaasports.org/sports/bsb/2021-22/players/chandlerjones3eo4,chandlerjones3eo4,Redwoods,2021-22,redwoods,2022
