No.,Name,Position,Year,PlayerURL,PlayerID,team_name,team_cccaa_season,team_id,team_season
26,Mitch West,OF,So,https://www.cccaasports.org/sports/bsb/2015-16/players/mitchwestje1e,mitchwestje1e,Santa Rosa,2015-16,santarosa,2016
21,Bryce Nagata,OF,So,https://www.cccaasports.org/sports/bsb/2015-16/players/brycenagatal1f0,brycenagatal1f0,Santa Rosa,2015-16,santarosa,2016
2,Jake Scheiner,INF,So,https://www.cccaasports.org/sports/bsb/2015-16/players/jakescheinerqcrp,jakescheinerqcrp,Santa Rosa,2015-16,santarosa,2016
13,George Foster,INF,So,https://www.cccaasports.org/sports/bsb/2015-16/players/georgefoster9f5x,georgefoster9f5x,Santa Rosa,2015-16,santarosa,2016
27,Ryder Kuhns,INF,Fr,https://www.cccaasports.org/sports/bsb/2015-16/players/ryderkuhnsh1sh,ryderkuhnsh1sh,Santa Rosa,2015-16,santarosa,2016
5,Charlie Magana,C,Fr,https://www.cccaasports.org/sports/bsb/2015-16/players/charliemagana9xwo,charliemagana9xwo,Santa Rosa,2015-16,santarosa,2016
12,Zach Hall,OF/P,So,https://www.cccaasports.org/sports/bsb/2015-16/players/zachhallmdx3,zachhallmdx3,Santa Rosa,2015-16,santarosa,2016
25,Matt Bone,OF/INF,So,https://www.cccaasports.org/sports/bsb/2015-16/players/mattbonehkdr,mattbonehkdr,Santa Rosa,2015-16,santarosa,2016
20,Myles Andrews,INF,Fr,https://www.cccaasports.org/sports/bsb/2015-16/players/mylesandrewsxvq8,mylesandrewsxvq8,Santa Rosa,2015-16,santarosa,2016
4,Jeff Bart,OF,Fr,https://www.cccaasports.org/sports/bsb/2015-16/players/jeffbartw1um,jeffbartw1um,Santa Rosa,2015-16,santarosa,2016
8,Matt Kimura,INF,Fr,https://www.cccaasports.org/sports/bsb/2015-16/players/mattkimura7o3b,mattkimura7o3b,Santa Rosa,2015-16,santarosa,2016
6,Nick Robinson,INF,Fr,https://www.cccaasports.org/sports/bsb/2015-16/players/nickrobinson88rs,nickrobinson88rs,Santa Rosa,2015-16,santarosa,2016
3,Chase Cianfichi,INF/C,So,https://www.cccaasports.org/sports/bsb/2015-16/players/chasecianfichibb6n,chasecianfichibb6n,Santa Rosa,2015-16,santarosa,2016
10,Anthony Bender,P/INF,So,https://www.cccaasports.org/sports/bsb/2015-16/players/anthonybenderxor8,anthonybenderxor8,Santa Rosa,2015-16,santarosa,2016
15,Ray Hernandez,INF,Fr,https://www.cccaasports.org/sports/bsb/2015-16/players/rayhernandezo892,rayhernandezo892,Santa Rosa,2015-16,santarosa,2016
