No.,Name,Position,Year,PlayerURL,PlayerID,team_name,team_cccaa_season,team_id,team_season
11,Will Floyd,SS,Fr,https://www.cccaasports.org/sports/bsb/2016-17/players/willfloydxrnf,willfloydxrnf,American River,2016-17,americanriver,2017
1,Cade Parker,OF,So,https://www.cccaasports.org/sports/bsb/2016-17/players/cadeparkerip95,cadeparkerip95,American River,2016-17,americanriver,2017
19,Sonny Ledford,3B,Fr,https://www.cccaasports.org/sports/bsb/2016-17/players/sonnyledfordgk9t,sonnyledfordgk9t,American River,2016-17,americanriver,2017
23,Alex Dodd,SS,So,https://www.cccaasports.org/sports/bsb/2016-17/players/alexdodd6j70,alexdodd6j70,American River,2016-17,americanriver,2017
25,Matt Clarke,2B,Fr,https://www.cccaasports.org/sports/bsb/2016-17/players/mattclarket8a7,mattclarket8a7,American River,2016-17,americanriver,2017
26,Justin Hanlin,OF,Fr,https://www.cccaasports.org/sports/bsb/2016-17/players/justinhanlino014,justinhanlino014,American River,2016-17,americanriver,2017
2,Joaquin Sequeira,C,So,https://www.cccaasports.org/sports/bsb/2016-17/players/joaquinsequeiraxa0h,joaquinsequeiraxa0h,American River,2016-17,americanriver,2017
18,Blake Spencer,OF,Fr,https://www.cccaasports.org/sports/bsb/2016-17/players/blakespencermxoa,blakespencermxoa,American River,2016-17,americanriver,2017
3,Tyler Swank,1B,So,https://www.cccaasports.org/sports/bsb/2016-17/players/tylerswank3pgl,tylerswank3pgl,American River,2016-17,americanriver,2017
7,Scotty Henrichs,2B,Fr,https://www.cccaasports.org/sports/bsb/2016-17/players/scottyhenrichsc23e,scottyhenrichsc23e,American River,2016-17,americanriver,2017
22,Andrew Fuentes,LHP,So,https://www.cccaasports.org/sports/bsb/2016-17/players/andrewfuentes6e28,andrewfuentes6e28,American River,2016-17,americanriver,2017
10,Justin Bejarano,OF,Fr,https://www.cccaasports.org/sports/bsb/2016-17/players/justinbejaranoxtjl,justinbejaranoxtjl,American River,2016-17,americanriver,2017
8,Edgar Gallardo,OF,So,https://www.cccaasports.org/sports/bsb/2016-17/players/edgargallardowdsb,edgargallardowdsb,American River,2016-17,americanriver,2017
17,Nick Huddlestun,C,Fr,https://www.cccaasports.org/sports/bsb/2016-17/players/nickhuddlestungsvn,nickhuddlestungsvn,American River,2016-17,americanriver,2017
12,Ryan Burdick,1B,Fr,https://www.cccaasports.org/sports/bsb/2016-17/players/ryanburdickwyt9,ryanburdickwyt9,American River,2016-17,americanriver,2017
4,Oscar Holmberg,C,Fr,https://www.cccaasports.org/sports/bsb/2016-17/players/oscarholmbergmidb,oscarholmbergmidb,American River,2016-17,americanriver,2017
