No.,Name,Position,Year,PlayerURL,PlayerID,team_name,team_cccaa_season,team_id,team_season
4,Johnny Martinez,OF,So,https://www.cccaasports.org/sports/bsb/2013-14/players/johnnymartinezd1gp,johnnymartinezd1gp,Cerritos,2013-14,cerritos,2014
29,Hayden Stevens,INF,So,https://www.cccaasports.org/sports/bsb/2013-14/players/haydenstevenspgmt,haydenstevenspgmt,Cerritos,2013-14,cerritos,2014
1,Daniel Lopez,INF,Fr,https://www.cccaasports.org/sports/bsb/2013-14/players/daniellopez7c61,daniellopez7c61,Cerritos,2013-14,cerritos,2014
10,Jose Romero,INF,So,https://www.cccaasports.org/sports/bsb/2013-14/players/joseromerohpaq,joseromerohpaq,Cerritos,2013-14,cerritos,2014
21,Jared Robinson,RHP,So,https://www.cccaasports.org/sports/bsb/2013-14/players/jaredrobinsonu22u,jaredrobinsonu22u,Cerritos,2013-14,cerritos,2014
22,Kyle Carpenter,OF/RHP,Fr,https://www.cccaasports.org/sports/bsb/2013-14/players/kylecarpentermo1w,kylecarpentermo1w,Cerritos,2013-14,cerritos,2014
27,Jose Ayala,OF,So,https://www.cccaasports.org/sports/bsb/2013-14/players/joseayalae05g,joseayalae05g,Cerritos,2013-14,cerritos,2014
19,Chris Carrillo,C,So,https://www.cccaasports.org/sports/bsb/2013-14/players/chriscarrillordeq,chriscarrillordeq,Cerritos,2013-14,cerritos,2014
35,Victor Guadalupe,INF,Fr,https://www.cccaasports.org/sports/bsb/2013-14/players/victorguadalupe2cja,victorguadalupe2cja,Cerritos,2013-14,cerritos,2014
11,Justin Walsh,INF,Fr,https://www.cccaasports.org/sports/bsb/2013-14/players/justinwalshgetx,justinwalshgetx,Cerritos,2013-14,cerritos,2014
3,Shane Preston,INF,Fr,https://www.cccaasports.org/sports/bsb/2013-14/players/shanepreston0qbp,shanepreston0qbp,Cerritos,2013-14,cerritos,2014
30,Kenton McDonald,OF,Fr,https://www.cccaasports.org/sports/bsb/2013-14/players/kentonmcdonald7vtd,kentonmcdonald7vtd,Cerritos,2013-14,cerritos,2014
50,Frank Vargas,C/1B,Fr,https://www.cccaasports.org/sports/bsb/2013-14/players/frankvargash6qi,frankvargash6qi,Cerritos,2013-14,cerritos,2014
33,Joseph Aguirre,1B,So,https://www.cccaasports.org/sports/bsb/2013-14/players/josephaguirref4tq,josephaguirref4tq,Cerritos,2013-14,cerritos,2014
12,Jacob Valdez,INF,So,https://www.cccaasports.org/sports/bsb/2013-14/players/jacobvaldez6sd9,jacobvaldez6sd9,Cerritos,2013-14,cerritos,2014
24,Michael Esparza,OF,So,https://www.cccaasports.org/sports/bsb/2013-14/players/michaelesparza9ane,michaelesparza9ane,Cerritos,2013-14,cerritos,2014
5,Aaron David,OF,Fr,https://www.cccaasports.org/sports/bsb/2013-14/players/aarondavidrux7,aarondavidrux7,Cerritos,2013-14,cerritos,2014
23,Luis Flores,C,Fr,https://www.cccaasports.org/sports/bsb/2013-14/players/luisfloreskz6i,luisfloreskz6i,Cerritos,2013-14,cerritos,2014
