No.,Name,Position,Year,PlayerURL,PlayerID,team_name,team_cccaa_season,team_id,team_season
6,Chase Cripps,SS,So,https://www.cccaasports.org/sports/bsb/2020-21/players/chasecrippsdt88,chasecrippsdt88,Lassen,2020-21,lassen,2021
23,Rafael Gutierrez,OF,Fr,https://www.cccaasports.org/sports/bsb/2020-21/players/rafaelgutierrezvzp2,rafaelgutierrezvzp2,Lassen,2020-21,lassen,2021
12,Nate Morgan,OF,So,https://www.cccaasports.org/sports/bsb/2020-21/players/natemorgan5hrd,natemorgan5hrd,Lassen,2020-21,lassen,2021
10,Randy Stultz,INF,Fr,https://www.cccaasports.org/sports/bsb/2020-21/players/randystultzlyci,randystultzlyci,Lassen,2020-21,lassen,2021
13,Tradd Richardson,C/INF,So,https://www.cccaasports.org/sports/bsb/2020-21/players/traddrichardsong455,traddrichardsong455,Lassen,2020-21,lassen,2021
9,Brandon Springer,OF,Fr,https://www.cccaasports.org/sports/bsb/2020-21/players/brandonspringerk82y,brandonspringerk82y,Lassen,2020-21,lassen,2021
2,Sean Tobin,INF,So,https://www.cccaasports.org/sports/bsb/2020-21/players/seantobin7k59,seantobin7k59,Lassen,2020-21,lassen,2021
11,Layne Thacker,P/1B,Fr,https://www.cccaasports.org/sports/bsb/2020-21/players/laynethacker12qy,laynethacker12qy,Lassen,2020-21,lassen,2021
29,Arnel Ramilo,OF/P,Fr,https://www.cccaasports.org/sports/bsb/2020-21/players/arnelramilouaea,arnelramilouaea,Lassen,2020-21,lassen,2021
24,Jacob Bennett,P/1B,Fr,https://www.cccaasports.org/sports/bsb/2020-21/players/jacobbennettb4fn,jacobbennettb4fn,Lassen,2020-21,lassen,2021
25,Spencer Edmondson,P/1B,Fr,https://www.cccaasports.org/sports/bsb/2020-21/players/spenceredmondsonlk6s,spenceredmondsonlk6s,Lassen,2020-21,lassen,2021
7,Emilio Martinez,1B,So,https://www.cccaasports.org/sports/bsb/2020-21/players/emiliomartinez07dy,emiliomartinez07dy,Lassen,2020-21,lassen,2021
3,Bryson Clayton,OF,Fr,https://www.cccaasports.org/sports/bsb/2020-21/players/brysonclaytoni39s,brysonclaytoni39s,Lassen,2020-21,lassen,2021
5,Kyle Micklus,C,Fr,https://www.cccaasports.org/sports/bsb/2020-21/players/kylemicklus2d65,kylemicklus2d65,Lassen,2020-21,lassen,2021
20,Kyle Norton,P,Fr,https://www.cccaasports.org/sports/bsb/2020-21/players/kylenortonql4q,kylenortonql4q,Lassen,2020-21,lassen,2021
14,Bill Miller,OF,So,https://www.cccaasports.org/sports/bsb/2020-21/players/billmillerwyii,billmillerwyii,Lassen,2020-21,lassen,2021
32,Juan Perez,SS,Fr,https://www.cccaasports.org/sports/bsb/2020-21/players/juanperezzm14,juanperezzm14,Lassen,2020-21,lassen,2021
15,Clay Parry,P/OF,Fr,https://www.cccaasports.org/sports/bsb/2020-21/players/clayparrytqy9,clayparrytqy9,Lassen,2020-21,lassen,2021
27,Braxton Antonelli,INF,Fr,https://www.cccaasports.org/sports/bsb/2020-21/players/braxtonantonellixlbh,braxtonantonellixlbh,Lassen,2020-21,lassen,2021
18,Kamdon Lewis,OF,Fr,https://www.cccaasports.org/sports/bsb/2020-21/players/kamdonlewisjm3p,kamdonlewisjm3p,Lassen,2020-21,lassen,2021
31,Cassidy Watt,C,Fr,https://www.cccaasports.org/sports/bsb/2020-21/players/cassidywattyzzy,cassidywattyzzy,Lassen,2020-21,lassen,2021
4,Eduardo DeLeon,INF,Fr,https://www.cccaasports.org/sports/bsb/2020-21/players/eduardodeleoncnu6,eduardodeleoncnu6,Lassen,2020-21,lassen,2021
21,Jose Angel Carlos-Castillo,SS/2B,Fr,https://www.cccaasports.org/sports/bsb/2020-21/players/joseangelcarloscastillo7qpw,joseangelcarloscastillo7qpw,Lassen,2020-21,lassen,2021
1,Travis Lee,C,Fr,https://www.cccaasports.org/sports/bsb/2020-21/players/travisleeksvz,travisleeksvz,Lassen,2020-21,lassen,2021
30,Alec Ralph,OF,Fr,https://www.cccaasports.org/sports/bsb/2020-21/players/alecralphho55,alecralphho55,Lassen,2020-21,lassen,2021
