No.,Name,Position,Year,PlayerURL,PlayerID,team_name,team_cccaa_season,team_id,team_season
7,Jordan Wilson,IF,FR,https://www.cccaasports.org/sports/bsb/2020-21/players/jordanwilsoni651,jordanwilsoni651,Antelope Valley,2020-21,antelopevalley,2021
5,McKinley O'Connor,C,FR,https://www.cccaasports.org/sports/bsb/2020-21/players/mckinleyoconnor262a,mckinleyoconnor262a,Antelope Valley,2020-21,antelopevalley,2021
29,Nathan Scott,,FR,https://www.cccaasports.org/sports/bsb/2020-21/players/nathanscottr65u,nathanscottr65u,Antelope Valley,2020-21,antelopevalley,2021
22,Colin Hagen,OF,FR,https://www.cccaasports.org/sports/bsb/2020-21/players/colinhagens6pr,colinhagens6pr,Antelope Valley,2020-21,antelopevalley,2021
14,George Mercado,,FR,https://www.cccaasports.org/sports/bsb/2020-21/players/georgemercado95tu,georgemercado95tu,Antelope Valley,2020-21,antelopevalley,2021
13,Jonathan Lucio,IF,FR,https://www.cccaasports.org/sports/bsb/2020-21/players/jonathanlucio6p4w,jonathanlucio6p4w,Antelope Valley,2020-21,antelopevalley,2021
21,Ariv Camacho,,FR,https://www.cccaasports.org/sports/bsb/2020-21/players/arivcamachoxqfi,arivcamachoxqfi,Antelope Valley,2020-21,antelopevalley,2021
24,Omar Santamaria Jr.,,FR,https://www.cccaasports.org/sports/bsb/2020-21/players/omarsantamariajr7ur7,omarsantamariajr7ur7,Antelope Valley,2020-21,antelopevalley,2021
2,Nathan Brockbank,OF,FR,https://www.cccaasports.org/sports/bsb/2020-21/players/nathanbrockbankfssc,nathanbrockbankfssc,Antelope Valley,2020-21,antelopevalley,2021
16,Brandon Wilson,,FR,https://www.cccaasports.org/sports/bsb/2020-21/players/brandonwilsonf7zq,brandonwilsonf7zq,Antelope Valley,2020-21,antelopevalley,2021
34,Ryan Redondo,,FR,https://www.cccaasports.org/sports/bsb/2020-21/players/ryanredondodxvv,ryanredondodxvv,Antelope Valley,2020-21,antelopevalley,2021
8,Gavin Rhynes,,FR,https://www.cccaasports.org/sports/bsb/2020-21/players/gavinrhynesy1aj,gavinrhynesy1aj,Antelope Valley,2020-21,antelopevalley,2021
15,Kenneth Harrison Jr.,1B,FR,https://www.cccaasports.org/sports/bsb/2020-21/players/kennethharrisonjr85yo,kennethharrisonjr85yo,Antelope Valley,2020-21,antelopevalley,2021
3,Joshua Estrada Nuno,,FR,https://www.cccaasports.org/sports/bsb/2020-21/players/joshuaestradanuno1dlf,joshuaestradanuno1dlf,Antelope Valley,2020-21,antelopevalley,2021
23,Blake Passamaneck,,FR,https://www.cccaasports.org/sports/bsb/2020-21/players/blakepassamaneck7nc9,blakepassamaneck7nc9,Antelope Valley,2020-21,antelopevalley,2021
27,Peter Rodriguez,,FR,https://www.cccaasports.org/sports/bsb/2020-21/players/peterrodriguez4cwn,peterrodriguez4cwn,Antelope Valley,2020-21,antelopevalley,2021
9,Zachary Johnson,,FR,https://www.cccaasports.org/sports/bsb/2020-21/players/zacharyjohnsonh7ut,zacharyjohnsonh7ut,Antelope Valley,2020-21,antelopevalley,2021
11,Justin Montoya,,FR,https://www.cccaasports.org/sports/bsb/2020-21/players/justinmontoya5x3e,justinmontoya5x3e,Antelope Valley,2020-21,antelopevalley,2021
