No.,Name,Position,Year,PlayerURL,PlayerID,team_name,team_cccaa_season,team_id,team_season
28,Steven Patterson,3B,So,https://www.cccaasports.org/sports/bsb/2011-12/players/stevenpattersonmi86,stevenpattersonmi86,San Joaquin  Delta,2011-12,sanjoaquindelta,2012
4,Tyler Shepherd,RF,So,https://www.cccaasports.org/sports/bsb/2011-12/players/tylershepherdyal3,tylershepherdyal3,San Joaquin  Delta,2011-12,sanjoaquindelta,2012
22,Andy Scott,MIF,So,https://www.cccaasports.org/sports/bsb/2011-12/players/andyscottollu,andyscottollu,San Joaquin  Delta,2011-12,sanjoaquindelta,2012
13,Langston Calhoun,OF,So,https://www.cccaasports.org/sports/bsb/2011-12/players/langstoncalhounn4nl,langstoncalhounn4nl,San Joaquin  Delta,2011-12,sanjoaquindelta,2012
32,Nick Parent,1B,So,https://www.cccaasports.org/sports/bsb/2011-12/players/nickparentp54k,nickparentp54k,San Joaquin  Delta,2011-12,sanjoaquindelta,2012
6,Peter Rajkovich,MIF,So,https://www.cccaasports.org/sports/bsb/2011-12/players/peterrajkovichx0e0,peterrajkovichx0e0,San Joaquin  Delta,2011-12,sanjoaquindelta,2012
16,Rudy Perez,P/OF,Fr,https://www.cccaasports.org/sports/bsb/2011-12/players/rudypereze1ee,rudypereze1ee,San Joaquin  Delta,2011-12,sanjoaquindelta,2012
12,Jordan Devencenzi,C,Fr,https://www.cccaasports.org/sports/bsb/2011-12/players/jordandevencenzi3d7f,jordandevencenzi3d7f,San Joaquin  Delta,2011-12,sanjoaquindelta,2012
8,Spencer Franceschetti,MIF,So,https://www.cccaasports.org/sports/bsb/2011-12/players/spencerfranceschetti5han,spencerfranceschetti5han,San Joaquin  Delta,2011-12,sanjoaquindelta,2012
7,Dayton Mellor,1B,Fr,https://www.cccaasports.org/sports/bsb/2011-12/players/daytonmellorvuy7,daytonmellorvuy7,San Joaquin  Delta,2011-12,sanjoaquindelta,2012
10,Ken Ruffin,C,Fr,https://www.cccaasports.org/sports/bsb/2011-12/players/kenruffin8yd2,kenruffin8yd2,San Joaquin  Delta,2011-12,sanjoaquindelta,2012
5,Marcus Mastrobuoni,C,Fr,https://www.cccaasports.org/sports/bsb/2011-12/players/marcusmastrobuonig5ul,marcusmastrobuonig5ul,San Joaquin  Delta,2011-12,sanjoaquindelta,2012
23,DeVante Marsh,OF,Fr,https://www.cccaasports.org/sports/bsb/2011-12/players/devantemarsh1400,devantemarsh1400,San Joaquin  Delta,2011-12,sanjoaquindelta,2012
21,Jeff Casperson,LF,Fr,https://www.cccaasports.org/sports/bsb/2011-12/players/jeffcaspersonaadn,jeffcaspersonaadn,San Joaquin  Delta,2011-12,sanjoaquindelta,2012
30,Kelvin McMiller,1B,Fr,https://www.cccaasports.org/sports/bsb/2011-12/players/kelvinmcmiller166n,kelvinmcmiller166n,San Joaquin  Delta,2011-12,sanjoaquindelta,2012
2,Stevie Robinson,2B,So,https://www.cccaasports.org/sports/bsb/2011-12/players/stevierobinsonnczi,stevierobinsonnczi,San Joaquin  Delta,2011-12,sanjoaquindelta,2012
15,Tyler Stieb,OF,Fr,https://www.cccaasports.org/sports/bsb/2011-12/players/tylerstiebeiba,tylerstiebeiba,San Joaquin  Delta,2011-12,sanjoaquindelta,2012
33,Alex Escobar,3B,Fr,https://www.cccaasports.org/sports/bsb/2011-12/players/alexescobarqsng,alexescobarqsng,San Joaquin  Delta,2011-12,sanjoaquindelta,2012
24,Mark Scott,RHP,So,https://www.cccaasports.org/sports/bsb/2011-12/players/markscottlq27,markscottlq27,San Joaquin  Delta,2011-12,sanjoaquindelta,2012
