No.,Name,Position,Year,PlayerURL,PlayerID,team_name,team_cccaa_season,team_id,team_season
44,Patrick Conroy,LHP/1B,So,https://www.cccaasports.org/sports/bsb/2011-12/players/patrickconroybsyf,patrickconroybsyf,Marin,2011-12,marin,2012
31,Casey Levy,3B,Fr,https://www.cccaasports.org/sports/bsb/2011-12/players/caseylevy5r8i,caseylevy5r8i,Marin,2011-12,marin,2012
12,Cory Bostjancic,OF/RHP,So,https://www.cccaasports.org/sports/bsb/2011-12/players/corybostjancicgc8v,corybostjancicgc8v,Marin,2011-12,marin,2012
2,Ronnie Schivo,SS/2B,So,https://www.cccaasports.org/sports/bsb/2011-12/players/ronnieschivox6sr,ronnieschivox6sr,Marin,2011-12,marin,2012
29,Jesse Delong,RHP,So,https://www.cccaasports.org/sports/bsb/2011-12/players/jessedelongwxhg,jessedelongwxhg,Marin,2011-12,marin,2012
17,Jesse Staats,1B,So,https://www.cccaasports.org/sports/bsb/2011-12/players/jessestaats35ni,jessestaats35ni,Marin,2011-12,marin,2012
4,Alex Boeri,2B,So,https://www.cccaasports.org/sports/bsb/2011-12/players/alexboeri5uyr,alexboeri5uyr,Marin,2011-12,marin,2012
5,Brooks Leandro,C,So,https://www.cccaasports.org/sports/bsb/2011-12/players/brooksleandrodykt,brooksleandrodykt,Marin,2011-12,marin,2012
27,Nathan Bernstein,3B,So,https://www.cccaasports.org/sports/bsb/2011-12/players/nathanbernsteinkv49,nathanbernsteinkv49,Marin,2011-12,marin,2012
6,Patrick Hodges,3B,Fr,https://www.cccaasports.org/sports/bsb/2011-12/players/patrickhodges3ahe,patrickhodges3ahe,Marin,2011-12,marin,2012
23,Roger Firenzi,C,Fr,https://www.cccaasports.org/sports/bsb/2011-12/players/rogerfirenzibha1,rogerfirenzibha1,Marin,2011-12,marin,2012
7,John Colma,OF,Fr,https://www.cccaasports.org/sports/bsb/2011-12/players/johncolmaudej,johncolmaudej,Marin,2011-12,marin,2012
16,Andre Holmes,SS,Fr,https://www.cccaasports.org/sports/bsb/2011-12/players/andreholmesdwlw,andreholmesdwlw,Marin,2011-12,marin,2012
3,Benito Ronquillo,SS,So,https://www.cccaasports.org/sports/bsb/2011-12/players/benitoronquillo3ufg,benitoronquillo3ufg,Marin,2011-12,marin,2012
10,Martin Greinke,OF,Fr,https://www.cccaasports.org/sports/bsb/2011-12/players/martingreinkeicyz,martingreinkeicyz,Marin,2011-12,marin,2012
19,Robby Maguire,OF,Fr,https://www.cccaasports.org/sports/bsb/2011-12/players/robbymaguire0now,robbymaguire0now,Marin,2011-12,marin,2012
9,Dino Cristiani,RHP,So,https://www.cccaasports.org/sports/bsb/2011-12/players/dinocristianiy71h,dinocristianiy71h,Marin,2011-12,marin,2012
