No.,Name,Position,Year,PlayerURL,PlayerID,team_name,team_cccaa_season,team_id,team_season
14,Kyle McGraw,,Fr,https://www.cccaasports.org/sports/bsb/2013-14/players/kylemcgrawd9kg,kylemcgrawd9kg,San Francisco,2013-14,sanfrancisco,2014
5,Dominic Sebastiani,,So,https://www.cccaasports.org/sports/bsb/2013-14/players/dominicsebastiani5tvj,dominicsebastiani5tvj,San Francisco,2013-14,sanfrancisco,2014
1,Albert Talaroc iii,OF,So,https://www.cccaasports.org/sports/bsb/2013-14/players/alberttalarociii1i64,alberttalarociii1i64,San Francisco,2013-14,sanfrancisco,2014
6,Danny Donoghue,,Fr,https://www.cccaasports.org/sports/bsb/2013-14/players/dannydonoghuednxg,dannydonoghuednxg,San Francisco,2013-14,sanfrancisco,2014
15,Tremane Moore,,Fr,https://www.cccaasports.org/sports/bsb/2013-14/players/tremanemooreuc4f,tremanemooreuc4f,San Francisco,2013-14,sanfrancisco,2014
44,Scott Drinkwater,,So,https://www.cccaasports.org/sports/bsb/2013-14/players/scottdrinkwaterjv2q,scottdrinkwaterjv2q,San Francisco,2013-14,sanfrancisco,2014
2,Jordan Zaragoza,OF,So,https://www.cccaasports.org/sports/bsb/2013-14/players/jordanzaragozaznpd,jordanzaragozaznpd,San Francisco,2013-14,sanfrancisco,2014
9,Cale Anderson,,Fr,https://www.cccaasports.org/sports/bsb/2013-14/players/caleandersonyb4t,caleandersonyb4t,San Francisco,2013-14,sanfrancisco,2014
8,James Cullinane,,Fr,https://www.cccaasports.org/sports/bsb/2013-14/players/jamescullinane9tiv,jamescullinane9tiv,San Francisco,2013-14,sanfrancisco,2014
7,Arturo Parra,,Fr,https://www.cccaasports.org/sports/bsb/2013-14/players/arturoparrav06w,arturoparrav06w,San Francisco,2013-14,sanfrancisco,2014
25,Joey Moro,,So,https://www.cccaasports.org/sports/bsb/2013-14/players/joeymoro614h,joeymoro614h,San Francisco,2013-14,sanfrancisco,2014
40,Trevor Thomas,,Fr,https://www.cccaasports.org/sports/bsb/2013-14/players/trevorthomas1owc,trevorthomas1owc,San Francisco,2013-14,sanfrancisco,2014
22,Bryce Jones,,So,https://www.cccaasports.org/sports/bsb/2013-14/players/brycejonesieop,brycejonesieop,San Francisco,2013-14,sanfrancisco,2014
13,Wyatt Pforsich,,Fr,https://www.cccaasports.org/sports/bsb/2013-14/players/wyattpforsichra7y,wyattpforsichra7y,San Francisco,2013-14,sanfrancisco,2014
3,David Jimenez,,So,https://www.cccaasports.org/sports/bsb/2013-14/players/davidjimeneze9ra,davidjimeneze9ra,San Francisco,2013-14,sanfrancisco,2014
23,Evan Giacomino,,Fr,https://www.cccaasports.org/sports/bsb/2013-14/players/evangiacominotph6,evangiacominotph6,San Francisco,2013-14,sanfrancisco,2014
4,Jason Angelo,,Fr,https://www.cccaasports.org/sports/bsb/2013-14/players/jasonangeloxu28,jasonangeloxu28,San Francisco,2013-14,sanfrancisco,2014
42,Kai Davis,,Fr,https://www.cccaasports.org/sports/bsb/2013-14/players/kaidavisz0y9,kaidavisz0y9,San Francisco,2013-14,sanfrancisco,2014
21,Mike Nazar,,Fr,https://www.cccaasports.org/sports/bsb/2013-14/players/mikenazarzeq5,mikenazarzeq5,San Francisco,2013-14,sanfrancisco,2014
49,Matt Craig,,Fr,https://www.cccaasports.org/sports/bsb/2013-14/players/mattcraigykxd,mattcraigykxd,San Francisco,2013-14,sanfrancisco,2014
