,No.,Name,Position,Year,PlayerURL,PlayerID,team_name,team_cccaa_season,team_id,team_season
0,9,Josh Harmonay,INF,Fr,https://www.cccaasports.org/sports/bsb/2016-17/players/joshharmonayba2x,joshharmonayba2x,Allan Hancock,2016-17,allanhancock,2017
1,15,Daniel Curiel,INF,Fr,https://www.cccaasports.org/sports/bsb/2016-17/players/danielcuriel03n0,danielcuriel03n0,Allan Hancock,2016-17,allanhancock,2017
2,23,Wyatt Coll,OF,So,https://www.cccaasports.org/sports/bsb/2016-17/players/wyattcollpiwj,wyattcollpiwj,Allan Hancock,2016-17,allanhancock,2017
3,34,Nash Ackerman,C,Fr,https://www.cccaasports.org/sports/bsb/2016-17/players/nashackermanjnp9,nashackermanjnp9,Allan Hancock,2016-17,allanhancock,2017
4,21,Kyle Von tillow,OF,So,https://www.cccaasports.org/sports/bsb/2016-17/players/kylevontillowfm79,kylevontillowfm79,Allan Hancock,2016-17,allanhancock,2017
5,4,Brendan Gomez,OF,Fr,https://www.cccaasports.org/sports/bsb/2016-17/players/brendangomez955x,brendangomez955x,Allan Hancock,2016-17,allanhancock,2017
6,29,Walker Armstrong,RHP/INF,So,https://www.cccaasports.org/sports/bsb/2016-17/players/walkerarmstrongpa7e,walkerarmstrongpa7e,Allan Hancock,2016-17,allanhancock,2017
7,6,Quinntin Perez,INF,Fr,https://www.cccaasports.org/sports/bsb/2016-17/players/quinntinperezypmb,quinntinperezypmb,Allan Hancock,2016-17,allanhancock,2017
8,28,Dylan Maiden,RHP/INF,Fr,https://www.cccaasports.org/sports/bsb/2016-17/players/dylanmaiden3d8i,dylanmaiden3d8i,Allan Hancock,2016-17,allanhancock,2017
9,24,Chris Taitague,OF,So,https://www.cccaasports.org/sports/bsb/2016-17/players/christaitagueged9,christaitagueged9,Allan Hancock,2016-17,allanhancock,2017
10,10,Ryan Peinado,INF,So,https://www.cccaasports.org/sports/bsb/2016-17/players/ryanpeinado2l8m,ryanpeinado2l8m,Allan Hancock,2016-17,allanhancock,2017
11,26,Brian Dowell,OF,Fr,https://www.cccaasports.org/sports/bsb/2016-17/players/briandowellffb3,briandowellffb3,Allan Hancock,2016-17,allanhancock,2017
12,22,Chad Jones,INF,Fr,https://www.cccaasports.org/sports/bsb/2016-17/players/chadjonesiiao,chadjonesiiao,Allan Hancock,2016-17,allanhancock,2017
13,33,Cordell Bowie,INF,Fr,https://www.cccaasports.org/sports/bsb/2016-17/players/cordellbowier6nh,cordellbowier6nh,Allan Hancock,2016-17,allanhancock,2017
14,2,Brandon Davis,OF,Fr,https://www.cccaasports.org/sports/bsb/2016-17/players/brandondavis45lz,brandondavis45lz,Allan Hancock,2016-17,allanhancock,2017
15,12,Nate Alcantar,RHP/INF,Fr,https://www.cccaasports.org/sports/bsb/2016-17/players/natealcantarxe9i,natealcantarxe9i,Allan Hancock,2016-17,allanhancock,2017
16,39,Tommy Nguyen,C,Fr,https://www.cccaasports.org/sports/bsb/2016-17/players/tommynguyentwtq,tommynguyentwtq,Allan Hancock,2016-17,allanhancock,2017
17,5,Wyatt Standley,RHP/OF,So,https://www.cccaasports.org/sports/bsb/2016-17/players/wyattstandley62ts,wyattstandley62ts,Allan Hancock,2016-17,allanhancock,2017
18,7,Jeremy Terrones,INF,So,https://www.cccaasports.org/sports/bsb/2016-17/players/jeremyterronesuyw4,jeremyterronesuyw4,Allan Hancock,2016-17,allanhancock,2017
0,11,Will Floyd,SS,Fr,https://www.cccaasports.org/sports/bsb/2016-17/players/willfloydxrnf,willfloydxrnf,American River,2016-17,americanriver,2017
1,1,Cade Parker,OF,So,https://www.cccaasports.org/sports/bsb/2016-17/players/cadeparkerip95,cadeparkerip95,American River,2016-17,americanriver,2017
2,19,Sonny Ledford,3B,Fr,https://www.cccaasports.org/sports/bsb/2016-17/players/sonnyledfordgk9t,sonnyledfordgk9t,American River,2016-17,americanriver,2017
3,23,Alex Dodd,SS,So,https://www.cccaasports.org/sports/bsb/2016-17/players/alexdodd6j70,alexdodd6j70,American River,2016-17,americanriver,2017
4,25,Matt Clarke,2B,Fr,https://www.cccaasports.org/sports/bsb/2016-17/players/mattclarket8a7,mattclarket8a7,American River,2016-17,americanriver,2017
5,26,Justin Hanlin,OF,Fr,https://www.cccaasports.org/sports/bsb/2016-17/players/justinhanlino014,justinhanlino014,American River,2016-17,americanriver,2017
6,2,Joaquin Sequeira,C,So,https://www.cccaasports.org/sports/bsb/2016-17/players/joaquinsequeiraxa0h,joaquinsequeiraxa0h,American River,2016-17,americanriver,2017
7,18,Blake Spencer,OF,Fr,https://www.cccaasports.org/sports/bsb/2016-17/players/blakespencermxoa,blakespencermxoa,American River,2016-17,americanriver,2017
8,3,Tyler Swank,1B,So,https://www.cccaasports.org/sports/bsb/2016-17/players/tylerswank3pgl,tylerswank3pgl,American River,2016-17,americanriver,2017
9,7,Scotty Henrichs,2B,Fr,https://www.cccaasports.org/sports/bsb/2016-17/players/scottyhenrichsc23e,scottyhenrichsc23e,American River,2016-17,americanriver,2017
10,22,Andrew Fuentes,LHP,So,https://www.cccaasports.org/sports/bsb/2016-17/players/andrewfuentes6e28,andrewfuentes6e28,American River,2016-17,americanriver,2017
11,10,Justin Bejarano,OF,Fr,https://www.cccaasports.org/sports/bsb/2016-17/players/justinbejaranoxtjl,justinbejaranoxtjl,American River,2016-17,americanriver,2017
12,8,Edgar Gallardo,OF,So,https://www.cccaasports.org/sports/bsb/2016-17/players/edgargallardowdsb,edgargallardowdsb,American River,2016-17,americanriver,2017
13,17,Nick Huddlestun,C,Fr,https://www.cccaasports.org/sports/bsb/2016-17/players/nickhuddlestungsvn,nickhuddlestungsvn,American River,2016-17,americanriver,2017
14,12,Ryan Burdick,1B,Fr,https://www.cccaasports.org/sports/bsb/2016-17/players/ryanburdickwyt9,ryanburdickwyt9,American River,2016-17,americanriver,2017
15,4,Oscar Holmberg,C,Fr,https://www.cccaasports.org/sports/bsb/2016-17/players/oscarholmbergmidb,oscarholmbergmidb,American River,2016-17,americanriver,2017
0,4,Ethan Avant,IF,Fr,https://www.cccaasports.org/sports/bsb/2016-17/players/ethanavantbqbq,ethanavantbqbq,Antelope Valley,2016-17,antelopevalley,2017
1,11,Kyle Lathrop,OF,Fr,https://www.cccaasports.org/sports/bsb/2016-17/players/kylelathropr3xa,kylelathropr3xa,Antelope Valley,2016-17,antelopevalley,2017
2,5,Michael Behen,IF,So,https://www.cccaasports.org/sports/bsb/2016-17/players/michaelbehenlwyl,michaelbehenlwyl,Antelope Valley,2016-17,antelopevalley,2017
