,No.,Name,Position,Year,PlayerURL,PlayerID,team_name,team_cccaa_season,team_id,team_season
0,10,Travis Welker,IF,So.,https://www.cccaasports.org/sports/bsb/2019-20/players/traviswelkerskmj,traviswelkerskmj,Allan Hancock,2019-20,allanhancock,2020
1,2,Jeff Ray,IF,So.,https://www.cccaasports.org/sports/bsb/2019-20/players/jeffray1aev,jeffray1aev,Allan Hancock,2019-20,allanhancock,2020
2,8,Jacob Ruley,OF,Fr.,https://www.cccaasports.org/sports/bsb/2019-20/players/jacobruley8wh2,jacobruley8wh2,Allan Hancock,2019-20,allanhancock,2020
3,15,Mike McLean,OF,So.,https://www.cccaasports.org/sports/bsb/2019-20/players/mikemcleanlrmr,mikemcleanlrmr,Allan Hancock,2019-20,allanhancock,2020
4,16,RJ Clayton,IF,Fr.,https://www.cccaasports.org/sports/bsb/2019-20/players/rjclaytonz6d3,rjclaytonz6d3,Allan Hancock,2019-20,allanhancock,2020
5,42,Kadin Byrne,LHP,Fr.,https://www.cccaasports.org/sports/bsb/2019-20/players/kadinbyrnenxd0,kadinbyrnenxd0,Allan Hancock,2019-20,allanhancock,2020
6,13,Trevor Garcia,RHP,So.,https://www.cccaasports.org/sports/bsb/2019-20/players/trevorgarciakf7e,trevorgarciakf7e,Allan Hancock,2019-20,allanhancock,2020
7,21,Kalub Ramirez,IF,Fr.,https://www.cccaasports.org/sports/bsb/2019-20/players/kalubramirez5iyr,kalubramirez5iyr,Allan Hancock,2019-20,allanhancock,2020
8,20,Evan Kling,C,So.,https://www.cccaasports.org/sports/bsb/2019-20/players/evanklingf52y,evanklingf52y,Allan Hancock,2019-20,allanhancock,2020
9,11,Dylan Howell,IF,Fr.,https://www.cccaasports.org/sports/bsb/2019-20/players/dylanhowellx4gm,dylanhowellx4gm,Allan Hancock,2019-20,allanhancock,2020
10,28,Tommy Herrera,RHP,Fr.,https://www.cccaasports.org/sports/bsb/2019-20/players/tommyherrerakp4h,tommyherrerakp4h,Allan Hancock,2019-20,allanhancock,2020
11,7,Ricky Iniguez,OF,Fr.,https://www.cccaasports.org/sports/bsb/2019-20/players/rickyiniguezhrle,rickyiniguezhrle,Allan Hancock,2019-20,allanhancock,2020
12,5,Nate Mitchell,OF,Fr.,https://www.cccaasports.org/sports/bsb/2019-20/players/natemitchell9kyq,natemitchell9kyq,Allan Hancock,2019-20,allanhancock,2020
13,19,Ben Bergonzine,RHP,Fr.,https://www.cccaasports.org/sports/bsb/2019-20/players/benbergonziney7xr,benbergonziney7xr,Allan Hancock,2019-20,allanhancock,2020
14,27,Michael Tackett,,Fr.,https://www.cccaasports.org/sports/bsb/2019-20/players/michaeltackett7v3d,michaeltackett7v3d,Allan Hancock,2019-20,allanhancock,2020
15,9,Luis Martinez,IF,So.,https://www.cccaasports.org/sports/bsb/2019-20/players/luismartinez2dpz,luismartinez2dpz,Allan Hancock,2019-20,allanhancock,2020
16,18,Craig Oliver,IF,Fr.,https://www.cccaasports.org/sports/bsb/2019-20/players/craigoliverv39w,craigoliverv39w,Allan Hancock,2019-20,allanhancock,2020
17,17,Joe Hernandez,IF,Fr.,https://www.cccaasports.org/sports/bsb/2019-20/players/joehernandezqsj2,joehernandezqsj2,Allan Hancock,2019-20,allanhancock,2020
18,12,CJ Jaramillo,RHP,Fr.,https://www.cccaasports.org/sports/bsb/2019-20/players/cjjaramillo4hn1,cjjaramillo4hn1,Allan Hancock,2019-20,allanhancock,2020
0,1,Joseph Hayden,OF,So,https://www.cccaasports.org/sports/bsb/2019-20/players/josephhaydenhhsh,josephhaydenhhsh,American River,2019-20,americanriver,2020
1,9,Cole Hurtarte,OF,So,https://www.cccaasports.org/sports/bsb/2019-20/players/colehurtarte69ou,colehurtarte69ou,American River,2019-20,americanriver,2020
2,4,Hayden Erickson,OF,Fr,https://www.cccaasports.org/sports/bsb/2019-20/players/haydenerickson88ox,haydenerickson88ox,American River,2019-20,americanriver,2020
3,25,Paul Von Zboray,C,So,https://www.cccaasports.org/sports/bsb/2019-20/players/paulvonzboraycl97,paulvonzboraycl97,American River,2019-20,americanriver,2020
4,3,Jonah Ira,2B/SS,Fr,https://www.cccaasports.org/sports/bsb/2019-20/players/jonahiragefs,jonahiragefs,American River,2019-20,americanriver,2020
5,17,Addison Lueras,2B,So,https://www.cccaasports.org/sports/bsb/2019-20/players/addisonlueras1tei,addisonlueras1tei,American River,2019-20,americanriver,2020
6,7,Daniel Paiz,2B/SS,Fr,https://www.cccaasports.org/sports/bsb/2019-20/players/danielpaizff2h,danielpaizff2h,American River,2019-20,americanriver,2020
7,18,Garrett Glynn,2B/3B,So,https://www.cccaasports.org/sports/bsb/2019-20/players/garrettglynnirmn,garrettglynnirmn,American River,2019-20,americanriver,2020
8,11,Brooks Mitchell,1B,Fr,https://www.cccaasports.org/sports/bsb/2019-20/players/brooksmitchellxl85,brooksmitchellxl85,American River,2019-20,americanriver,2020
9,8,DeMarco Hawthorne,SS,Fr,https://www.cccaasports.org/sports/bsb/2019-20/players/demarcohawthorneulml,demarcohawthorneulml,American River,2019-20,americanriver,2020
10,5,Dillen Farrell,3B,So,https://www.cccaasports.org/sports/bsb/2019-20/players/dillenfarrellyaem,dillenfarrellyaem,American River,2019-20,americanriver,2020
11,28,Dom Moreno,C/1B,Fr,https://www.cccaasports.org/sports/bsb/2019-20/players/dommorenolxoh,dommorenolxoh,American River,2019-20,americanriver,2020
12,24,Blake Yuyama,3B/RHP,Fr,https://www.cccaasports.org/sports/bsb/2019-20/players/blakeyuyamad09l,blakeyuyamad09l,American River,2019-20,americanriver,2020
13,23,Josiah Taylor,OF,Fr,https://www.cccaasports.org/sports/bsb/2019-20/players/josiahtayloru4m1,josiahtayloru4m1,American River,2019-20,americanriver,2020
14,16,Dodger DeGan,OF,So,https://www.cccaasports.org/sports/bsb/2019-20/players/dodgerdeganp9sf,dodgerdeganp9sf,American River,2019-20,americanriver,2020
15,14,Nolan Johnston,Util,So,https://www.cccaasports.org/sports/bsb/2019-20/players/nolanjohnstonn1dp,nolanjohnstonn1dp,American River,2019-20,americanriver,2020
16,21,Gideon Branch,OF,So,https://www.cccaasports.org/sports/bsb/2019-20/players/gideonbranchhsfo,gideonbranchhsfo,American River,2019-20,americanriver,2020
0,4,Christian Garcia,IF,SO,https://www.cccaasports.org/sports/bsb/2019-20/players/christiangarciawulm,christiangarciawulm,Antelope Valley,2019-20,antelopevalley,2020
1,12,Nathan Duarte,U,SO,https://www.cccaasports.org/sports/bsb/2019-20/players/nathanduartexz97,nathanduartexz97,Antelope Valley,2019-20,antelopevalley,2020
2,2,Frankie Linstrom,OF,SO,https://www.cccaasports.org/sports/bsb/2019-20/players/frankielinstrom7ryw,frankielinstrom7ryw,Antelope Valley,2019-20,antelopevalley,2020
3,11,Tyler Vargas,IF,SO,https://www.cccaasports.org/sports/bsb/2019-20/players/tylervargaskd48,tylervargaskd48,Antelope Valley,2019-20,antelopevalley,2020
4,13,Nathan Hernandez,IF,FR,https://www.cccaasports.org/sports/bsb/2019-20/players/nathanhernandez29yz,nathanhernandez29yz,Antelope Valley,2019-20,antelopevalley,2020
5,5,Anthony Cuellar,1B,FR,https://www.cccaasports.org/sports/bsb/2019-20/players/anthonycuellare8e5,anthonycuellare8e5,Antelope Valley,2019-20,antelopevalley,2020
6,1,Braden Courter,IF,FR,https://www.cccaasports.org/sports/bsb/2019-20/players/bradencourter7r8o,bradencourter7r8o,Antelope Valley,2019-20,antelopevalley,2020
7,6,Dylan Halberstadt,OF,FR,https://www.cccaasports.org/sports/bsb/2019-20/players/dylanhalberstadtr85o,dylanhalberstadtr85o,Antelope Valley,2019-20,antelopevalley,2020
8,33,Colin Hagen,OF,FR,https://www.cccaasports.org/sports/bsb/2019-20/players/colinhagenrek7,colinhagenrek7,Antelope Valley,2019-20,antelopevalley,2020
9,34,Robert Gonzales,U,FR,https://www.cccaasports.org/sports/bsb/2019-20/players/robertgonzaleseost,robertgonzaleseost,Antelope Valley,2019-20,antelopevalley,2020
10,3,Nathan Brockbank,OF,FR,https://www.cccaasports.org/sports/bsb/2019-20/players/nathanbrockbankavse,nathanbrockbankavse,Antelope Valley,2019-20,antelopevalley,2020
11,22,Jacob Shook,C/OF,FR,https://www.cccaasports.org/sports/bsb/2019-20/players/jacobshookkl9o,jacobshookkl9o,Antelope Valley,2019-20,antelopevalley,2020
12,36,Sean Conboy,C,FR,https://www.cccaasports.org/sports/bsb/2019-20/players/seanconboy698r,seanconboy698r,Antelope Valley,2019-20,antelopevalley,2020
13,30,Devin Rader,3B,SO,https://www.cccaasports.org/sports/bsb/2019-20/players/devinradermiwh,devinradermiwh,Antelope Valley,2019-20,antelopevalley,2020
14,14,Mark Ribeiro,U,FR,https://www.cccaasports.org/sports/bsb/2019-20/players/markribeiro2hov,markribeiro2hov,Antelope Valley,2019-20,antelopevalley,2020
15,25,George Mercado,1B/LHP,FR,https://www.cccaasports.org/sports/bsb/2019-20/players/georgemercadoywdd,georgemercadoywdd,Antelope Valley,2019-20,antelopevalley,2020
16,23,Daniel Guzman,OF,FR,https://www.cccaasports.org/sports/bsb/2019-20/players/danielguzmanv7by,danielguzmanv7by,Antelope Valley,2019-20,antelopevalley,2020
17,7,Andres Haro,C,SO,https://www.cccaasports.org/sports/bsb/2019-20/players/andresharoenqn,andresharoenqn,Antelope Valley,2019-20,antelopevalley,2020
18,31,Albert Velasquez,OF,FR,https://www.cccaasports.org/sports/bsb/2019-20/players/albertvelasquezxpdb,albertvelasquezxpdb,Antelope Valley,2019-20,antelopevalley,2020
19,17,Charles Lewis,OF,FR,https://www.cccaasports.org/sports/bsb/2019-20/players/charleslewisbj93,charleslewisbj93,Antelope Valley,2019-20,antelopevalley,2020
20,26,Kenneth Harrison,3B,FR,https://www.cccaasports.org/sports/bsb/2019-20/players/kennethharrisonah44,kennethharrisonah44,Antelope Valley,2019-20,antelopevalley,2020
21,32,Luis Osorio,IF,FR,https://www.cccaasports.org/sports/bsb/2019-20/players/luisosorioa2eg,luisosorioa2eg,Antelope Valley,2019-20,antelopevalley,2020
0,5,Hunter Adams,INF,So,https://www.cccaasports.org/sports/bsb/2019-20/players/hunteradamsij5y,hunteradamsij5y,Bakersfield,2019-20,bakersfield,2020
1,3,Jacob Baker,OF,Fr,https://www.cccaasports.org/sports/bsb/2019-20/players/jacobbakermh6u,jacobbakermh6u,Bakersfield,2019-20,bakersfield,2020
2,28,Wes Bradford,OF,So,https://www.cccaasports.org/sports/bsb/2019-20/players/wesbradford6fg3,wesbradford6fg3,Bakersfield,2019-20,bakersfield,2020
3,4,Will Reynolds,OF,So,https://www.cccaasports.org/sports/bsb/2019-20/players/willreynoldsrhr6,willreynoldsrhr6,Bakersfield,2019-20,bakersfield,2020
4,7,Matt Patton,OF,So,https://www.cccaasports.org/sports/bsb/2019-20/players/mattpattonplls,mattpattonplls,Bakersfield,2019-20,bakersfield,2020
5,8,Landn Kauk,INF,So,https://www.cccaasports.org/sports/bsb/2019-20/players/landnkauktjh6,landnkauktjh6,Bakersfield,2019-20,bakersfield,2020
6,12,Jose Ruiz,INF,Fr,https://www.cccaasports.org/sports/bsb/2019-20/players/joseruiz6ek3,joseruiz6ek3,Bakersfield,2019-20,bakersfield,2020
7,11,Miguel Castillo,C,Fr,https://www.cccaasports.org/sports/bsb/2019-20/players/miguelcastillo296b,miguelcastillo296b,Bakersfield,2019-20,bakersfield,2020
8,18,Richard Garcia,INF,So,https://www.cccaasports.org/sports/bsb/2019-20/players/richardgarciat2h7,richardgarciat2h7,Bakersfield,2019-20,bakersfield,2020
9,25,Alex Rodriguez,OF,Fr,https://www.cccaasports.org/sports/bsb/2019-20/players/alexrodriguezilro,alexrodriguezilro,Bakersfield,2019-20,bakersfield,2020
10,10,Garrett Pavletich,INF,Fr,https://www.cccaasports.org/sports/bsb/2019-20/players/garrettpavletichn61x,garrettpavletichn61x,Bakersfield,2019-20,bakersfield,2020
11,6,Ryan Darbee,INF,So,https://www.cccaasports.org/sports/bsb/2019-20/players/ryandarbees9ce,ryandarbees9ce,Bakersfield,2019-20,bakersfield,2020
12,2,Brett Johnson,INF,So,https://www.cccaasports.org/sports/bsb/2019-20/players/brettjohnsonj3x9,brettjohnsonj3x9,Bakersfield,2019-20,bakersfield,2020
13,14,Grant Holleman,1B,Fr,https://www.cccaasports.org/sports/bsb/2019-20/players/grantholleman4t2l,grantholleman4t2l,Bakersfield,2019-20,bakersfield,2020
14,15,Daniel Ingrao,C,Fr,https://www.cccaasports.org/sports/bsb/2019-20/players/danielingraokewb,danielingraokewb,Bakersfield,2019-20,bakersfield,2020
15,9,Rhett Garrett,1B,So,https://www.cccaasports.org/sports/bsb/2019-20/players/rhettgarrettizb6,rhettgarrettizb6,Bakersfield,2019-20,bakersfield,2020
16,29,Abraham Ramos,1B,So,https://www.cccaasports.org/sports/bsb/2019-20/players/abrahamramossgzp,abrahamramossgzp,Bakersfield,2019-20,bakersfield,2020
17,1,Cade Cooper,INF,Fr,https://www.cccaasports.org/sports/bsb/2019-20/players/cadecooperpek0,cadecooperpek0,Bakersfield,2019-20,bakersfield,2020
0,4,Jack McLaughlin,INF,SO,https://www.cccaasports.org/sports/bsb/2019-20/players/jackmclaughlinf18r,jackmclaughlinf18r,Barstow,2019-20,barstow,2020
1,42,Ace Felise,1B,FR,https://www.cccaasports.org/sports/bsb/2019-20/players/acefelisegkzn,acefelisegkzn,Barstow,2019-20,barstow,2020
2,35,Alec Oorin,C/OF,RFR,https://www.cccaasports.org/sports/bsb/2019-20/players/alecoorinbkq4,alecoorinbkq4,Barstow,2019-20,barstow,2020
3,6,Kagen Kennedy,,SO,https://www.cccaasports.org/sports/bsb/2019-20/players/kagenkennedyr758,kagenkennedyr758,Barstow,2019-20,barstow,2020
4,1,Robert Valdivia,INF,FR,https://www.cccaasports.org/sports/bsb/2019-20/players/robertvaldiviarac0,robertvaldiviarac0,Barstow,2019-20,barstow,2020
